species;individual;type;arena;start_hour;end_hour;reach_tie;avoidance;exit_way;fall_hour;exit_hour;reach_barrier;time_escape;time_fall
Trachemys;T1;2;F;12:58;13:01;1;0;trench;12:58;13:01;1;00:03:00;00:00
Trachemys;T1;2;A;13:42;13:42;1;0;trench;13:42;13:42;0;00:00:00;00:00
Trachemys;T1;2;D;14:32;14:33;0;0;rail;NA;14:33;1;00:01:00;NA
Trachemys;T2;2;C;12:59;13:03;1;0;trench;13:03;13:03;1;00:04:00;00:04
Trachemys;T2;2;B;13:50;13:55;0;0;rail;NA;13:55;0;00:05:00;NA
Trachemys;T2;2;A;15:16;15:17;0;0;rail;NA;15:17;0;00:01:00;NA
Trachemys;T3;2;D;13:00;13:01;1;0;trench;13:01;13:01;0;00:01:00;00:01
Trachemys;T3;2;F;13:50;13:51;1;0;trench;13:51;13:51;0;00:01:00;00:01
Trachemys;T3;2;B;15:16;15:16;0;0;rail;NA;15:16;0;00:00:00;NA
Trachemys;T4;2;G;13:46;13:46;1;0;trench;13:46;13:46;0;00:00:00;00:00
Trachemys;T4;2;C;14:09;14:10;1;0;trench;14:10;14:10;0;00:01:00;00:01
Trachemys;T4;2;F;14:46;14:49;1;0;trench;14:48;14:49;0;00:03:00;00:02
Trachemys;T5;2;F;13:15;13:18;1;0;trench;13:16;13:18;0;00:03:00;00:01
Trachemys;T5;2;C;14:01;14:01;1;0;trench;14:01;14:01;0;00:00:00;00:00
Trachemys;T5;2;E;14:30;14:31;1;0;trench;14:31;14:31;0;00:01:00;00:01
Trachemys;T6;2;G;13:16;13:17;1;0;trench;13:17;13:17;0;00:01:00;00:01
Trachemys;T6;2;D;14:01;14:04;0;0;rail;NA;14:04;1;00:03:00;NA
Trachemys;T6;2;C;15:08;15:08;1;0;trench;15:08;15:08;0;00:00:00;00:00
Trachemys;T7;2;F;13:36;13:45;2;1;trench;13:45;13:45;0;00:09:00;00:09
Trachemys;T7;2;G;14:21;14:29;2;1;trench;14:28;14:29;0;00:08:00;00:07
Trachemys;T7;2;D;14:50;15:05;1;1;unable;NA;NA;2;NA;NA
Trachemys;T8;2;F;13:21;13:32;1;0;trench;13:31;13:32;0;00:11:00;00:10
Trachemys;T8;2;D;14:09;14:25;1;0;trench;14:21;14:25;0;00:16:00;00:12
Trachemys;T8;2;B;14:57;15:12;0;0;unable;NA;NA;0;NA;NA
Trachemys;T9;2;E;13:39;13:41;1;0;trench;13:41;13:41;0;00:02:00;00:02
Trachemys;T9;2;G;14:37;14:45;3;2;trench;14:45;14:45;0;00:08:00;00:08
Trachemys;T9;2;C;15:11;15:12;1;0;trench;15:12;15:12;0;00:01:00;00:01
Trachemys;T10;2;C;13:17;13:21;1;0;trench;13:20;13:21;0;00:04:00;00:03
Trachemys;T10;2;G;14:07;14:09;1;0;trench;14:09;14:09;0;00:02:00;00:02
Trachemys;T10;2;B;14:38;14:42;1;0;trench;14:42;14:42;1;00:04:00;00:04
Trachemys;T11;2;A;12:59;12:59;0;0;rail;NA;12:59;0;00:00:00;NA
Trachemys;T11;2;C;13:52;13:52;0;0;rail;NA;13:52;0;00:00:00;NA
Trachemys;T11;2;C;14:42;14:42;1;1;rail;NA;14:42;0;00:00:00;NA
Trachemys;T12;2;G;13:39;13:44;1;0;trench;13:43;13:44;0;00:05:00;00:04
Trachemys;T12;2;B;14:26;14:31;1;0;trench;14:31;14:31;0;00:05:00;00:05
Trachemys;T12;2;D;15:08;15:12;1;0;trench;15:12;15:12;1;00:04:00;00:04
Trachemys;T13;2;G;13:22;13:25;1;0;trench;13:25;13:25;0;00:03:00;00:03
Trachemys;T13;2;A;14:26;14:29;1;0;trench;14:29;14:29;0;00:03:00;00:03
Trachemys;T13;2;C;14:50;14:51;1;0;trench;14:50;14:51;0;00:01:00;00:00
Trachemys;T14;2;D;13:28;13:43;0;0;unable;NA;NA;4;NA;NA
Trachemys;T14;2;F;13:57;13:59;1;0;trench;13:58;13:59;0;00:02:00;00:01
Trachemys;T14;2;E;14:34;14:49;0;0;unable;NA;NA;1;NA;NA
Trachemys;T15;2;G;12:58;13:00;1;0;trench;12:59;13:00;0;00:02:00;00:01
Trachemys;T15;2;B;13:42;13:45;1;0;trench;13:45;13:45;1;00:03:00;00:03
Trachemys;T15;2;F;14:30;14:32;1;0;trench;14:31;14:32;0;00:02:00;00:01
Trachemys;T16;2;C;13:28;13:35;1;0;trench;13:32;13:35;0;00:07:00;00:04
Trachemys;T16;2;E;13:56;14:09;0;0;rail;NA;14:09;1;00:13:00;NA
Trachemys;T16;2;A;14:38;14:40;1;0;trench;14:40;14:40;0;00:02:00;00:02
Trachemys;T17;2;A;13:05;13:11;1;0;trench;13:11;13:11;1;00:06:00;00:06
Trachemys;T17;2;G;13:52;13:55;2;1;trench;13:55;13:55;0;00:03:00;00:03
Trachemys;T17;2;D;14:42;14:45;0;0;rail;NA;14:45;1;00:03:00;NA
Trachemys;T18;2;A;13:37;13:46;1;0;trench;13:46;13:46;0;00:09:00;00:09
Trachemys;T18;2;F;14:02;14:17;1;1;unable;NA;NA;0;NA;NA
Trachemys;T18;2;C;14:32;14:37;1;0;trench;14:37;14:37;0;00:05:00;00:05
Trachemys;T19;2;B;12:59;13:01;0;0;rail;NA;13:01;1;00:02:00;NA
Trachemys;T19;2;E;13:49;13:51;0;0;rail;NA;13:51;1;00:02:00;NA
Trachemys;T19;2;A;14:57;14:59;1;0;trench;14:59;14:59;0;00:02:00;00:02
Trachemys;T20;2;D;13:17;13:22;1;0;trench;13:22;13:22;1;00:05:00;00:05
Trachemys;T20;2;G;14:11;14:14;2;1;trench;14:13;14:14;0;00:03:00;00:02
Trachemys;T20;2;F;14:35;14:40;1;0;trench;14:39;14:40;0;00:05:00;00:04
Tortoise;J1;2;C;10:55;11:10;5;5;unable;NA;NA;NA;NA;NA
Tortoise;J1;2;F;11:38;11:53;4;4;unable;NA;NA;3;NA;NA
Tortoise;J1;2;A;12:01;12:16;5;5;unable;NA;NA;NA;NA;NA
Tortoise;J10;2;G;10:37;10:52;5;5;unable;NA;NA;2;NA;NA
Tortoise;J10;2;D;11:17;11:32;6;6;unable;NA;NA;NA;NA;NA
Tortoise;J10;2;E;12:03;12:18;4;4;unable;NA;NA;4;NA;NA
Tortoise;J11;2;A;10:41;10:56;3;3;unable;NA;NA;NA;NA;NA
Tortoise;J11;2;G;11:38;11:53;1;1;unable;NA;NA;1;NA;NA
Tortoise;J11;2;D;12:10;12:25;6;6;unable;NA;NA;NA;NA;NA
Tortoise;J2;2;E;10:58;11:11;2;2;barrier;NA;11:11;2;00:13:00;NA
Tortoise;J2;2;C;11:17;11:26;5;4;trench;11:26;11:26;NA;00:09:00;00:09
Tortoise;J2;2;A;11:38;11:42;2;1;trench;11:42;11:42;NA;00:04:00;00:04
Tortoise;J3;2;A;11:00;11:11;5;4;trench;11:00;11:01;NA;00:11:00;00:00
Tortoise;J3;2;E;11:34;11:39;2;1;trench;11:39;11:39;1;00:05:00;00:05
Tortoise;J3;2;B;12:01;12:03;1;1;rail;NA;12:03;NA;00:02:00;NA
Tortoise;J4;2;E;11:16;11:31;5;5;unable;NA;NA;3;NA;NA
Tortoise;J4;2;B;11:38;11:53;6;6;unable;NA;NA;NA;NA;NA
Tortoise;J4;2;G;12:00;12:15;2;2;unable;NA;NA;0;NA;NA
Tortoise;J5;2;B;11:00;11:15;6;6;unable;NA;NA;NA;NA;NA
Tortoise;J5;2;F;12:00;12:15;5;5;unable;NA;NA;2;NA;NA
Tortoise;J5;2;A;12:28;12:43;8;8;unable;NA;NA;NA;NA;NA
Tortoise;J6;2;G;10:57;11:10;4;3;barrier;NA;11:10;2;00:13:00;NA
Tortoise;J6;2;B;11:19;11:22;1;0;trench;11:22;11:22;NA;00:03:00;00:03
Tortoise;J6;2;C;12:10;12:12;1;0;trench;12:11;12:12;NA;00:02:00;00:01
Tortoise;J7;2;E;10:38;10:53;4;3;unable;NA;NA;3;NA;NA
Tortoise;J7;2;A;11:19;11:34;6;6;unable;NA;NA;NA;NA;NA
Tortoise;J7;2;C;11:46;12:01;6;6;unable;NA;NA;NA;NA;NA
